Vuosi	Paaluokka/Osasto	Luku	Momentti	Alkup.talousarvio	Lisätalousarvio	Voimassaoleva talousarvio	Käytettävissä	Nettokertymä ko.vuodelta	Nettokertymä	Jäljellä
1998	21. Tasavallan presidentti	21.01. Tasavallan Presidentti	21.01.01. Presidentin palkkio ja edustusrahat	245217,9968	0	245217,9968	245217,9968	241646,3214	241646,3214	3571,6754
1998	21. Tasavallan presidentti	21.01. Tasavallan Presidentti	21.01.21. Presidentin käyttövarat	29432,8871	0	29432,8871	29432,8871	25876,7299	25876,7299	3556,1572
1998	21. Tasavallan presidentti	21.02. Tasavallan Presidentin kanslia	21.02.21. Toimintamenot	4271973,3321	72488,9963	4344462,3284	4344462,3284	4063956,2181	4063956,2181	280506,1103
1998	21. Tasavallan presidentti	21.02. Tasavallan Presidentin kanslia	21.02.27. Eläkkeellä olevien presidenttien menot	97548,9973	0	97548,9973	97548,9973	52174,9413	52174,9413	45374,056
1998	21. Tasavallan presidentti	21.02. Tasavallan Presidentin kanslia	21.02.75. Perusparannukset	3254436,377	580248,3463	3834684,7233	3834684,7233	3834684,7235	3834684,7235	-0,0002
1998	22. Eduskunta	22.01. Kansanedustajat	22.01.21. Toimintamenot	16805337,612	180802,0209	16986139,6329	16986139,6329	16443915,0127	16443915,0127	542224,6202
1998	22. Eduskunta	22.02. Eduskunnan kanslia	22.02.21. Toimintamenot	24851448,014	336375,8529	25187823,8669	25187823,8669	25117001,2458	25117001,2458	70822,6211
1998	22. Eduskunta	22.02. Eduskunnan kanslia	22.02.74. Eduskunnan lisätilat	504563,7794	0	504563,7794	504563,7794	504563,7794	504563,7794	0
1998	22. Eduskunta	22.09. Valtiontilintarkastajat	22.09.21. Toimintamenot	1362826,7681	21864,4304	1384691,1985	1384691,1985	1201668,1889	1201668,1889	183023,0096
1998	22. Eduskunta	22.14. Eduskunnan oikeusasiamies	22.14.21. Toimintamenot	2070393,3747	48774,4987	2119167,8734	2119167,8734	2073348,654	2073348,654	45819,2194
1998	22. Eduskunta	22.30. Eduskunnan kirjasto	22.30.21. Toimintamenot	2797637,9688	58024,8346	2855662,8034	2855662,8034	2816179,9246	2816179,9246	39482,8788
