Vuosi	Luku	Momentti	Nettokertymä
1998	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-9524791726,7031
1998	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-115480267,5181
1998	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-284097926,3555
1998	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-8352236073,9415
1998	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-293058032,5192
1998	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-75596691,8261
1998	11.08. Valmisteverot	11.08.01. Tupakkavero	-567882719,6995
1998	11.08. Valmisteverot	11.08.02. Makeisvero	-31215923,2744
1998	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1208709427,8818
1998	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-30062365,1311
1998	11.08. Valmisteverot	11.08.07. Energiaverot	-2574278589,5087
1998	11.10. Muut verot	11.10.01. Leimavero	-42806725,7158
1998	11.10. Muut verot	11.10.03. Autovero	-884554252,6385
1998	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-175220073,3873
1998	11.10. Muut verot	11.10.05. Varainsiirtovero	-426381133,0181
1998	11.10. Muut verot	11.10.06. Arpajaisvero	-72174006,1859
1998	11.10. Muut verot	11.10.07. Ajoneuvovero	-201547754,996
1998	11.10. Muut verot	11.10.08. Jätevero	-30685730,9364
1998	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-668398,1615
1998	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3415955,1056
1998	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	3060590,523
1999	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-10301653440,0352
1999	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-93600898,0596
1999	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-321292848,9001
1999	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-8969246701,0639
1999	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-311941053,4534
1999	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-79062636,7833
1999	11.08. Valmisteverot	11.08.01. Tupakkavero	-566289031,8127
1999	11.08. Valmisteverot	11.08.02. Makeisvero	-30789744,0148
1999	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1253613249,9154
1999	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-32557941,8338
1999	11.08. Valmisteverot	11.08.07. Energiaverot	-2651502862,7234
1999	11.10. Muut verot	11.10.01. Leimavero	11598830,3908
