Vuosi,Paaluokka/Osasto,Luku,Momentti,Alkup.talousarvio,Lisätalousarvio,Voimassaoleva talousarvio,Käytettävissä,Nettokertymä ko.vuodelta,Nettokertymä,Jäljellä,,,
2018,Parliament,Members of Parliament,Operating expenses of members of parliament,21247000,0,21247000,21247000,21257846,95,21257846,95,-10846,95
2018,Parliament,Parliamentary Office,Operating expenses of the Parliamentary Office,53394000,0,53394000,53394000,51323322,14,51323322,14,2070677,86
2018,Parliament,Parliamentary Office,Operating expenses related to renovations,2482000,0,2482000,2482000,2212941,87,2212941,87,269058,13
2018,Parliament,Parliamentary Office,Expenses on value added taxes,6800000,0,6800000,6800000,6317508,29,6317508,29,482491,71
2018,Parliament,Parliamentary Office,Assistant aid to parliamentary groups,3531000,0,3531000,3531000,3563624,93,3563624,93,-32624,93
2018,Parliament,Parliamentary Office,IT management procurement and development projects,4000000,0,4000000,4000000,4000000,4000000,0,,,
2018,Parliament,Parliamentary Office,Renovations on parliamentary buildings,4000000,0,4000000,4000000,4000000,4000000,0,,,
2018,Parliament,Parliamentary Ombudsman,Operating expenses of the Office of the Parliamentary Ombudsman,6061000,0,6061000,6061000,6083070,15,6083070,15,-22070,15
2018,Parliament,Institute of International Affairs,Operating expenses of the Institute of International Affairs,3398000,0,3398000,3398000,3398000,3398000,0,,,
2018,Parliament,Institute of International Affairs,Expenses on value added taxes,220000,0,220000,220000,189692,43,189692,43,30307,57
2018,Parliament,National Audit Office,Operating expenses of the National Audit Office,14937000,0,14937000,14937000,14937000,14937000,0,,,
2018,Parliament,National Audit Office,Expenses on value added taxes,590000,0,590000,590000,510517,38,510517,38,79482,62
2018,Parliament,Other expenses of the Parliament,Support of the group offices of parliamentary groups,4083000,0,4083000,4083000,4081770,4081770,1230,,,
2018,President of the Republic,President of the Republic,Salary of the President of the Republic,126000,0,126000,126000,126000,126000,0,,,
2018,President of the Republic,President of the Republic,Operating expenses of the President of the Republic,199000,0,199000,199000,199000,199000,0,,,
2018,President of the Republic,President of the Republic,Expenses on foreign visits and conferences,2550000,0,2550000,2550000,1169519,25,1169519,25,1380480,75
