Vuosi,Luku,Momentti,Nettokertymä,
2018,11.01. Tulon ja varallisuuden perusteella kannettavat verot,11.01.01. Ansio- ja pääomatuloverot,-9701120659,15
2018,11.01. Tulon ja varallisuuden perusteella kannettavat verot,11.01.02. Yhteisövero,-4077751992,74
2018,11.01. Tulon ja varallisuuden perusteella kannettavat verot,11.01.03. Korkotulojen lähdevero,-46217276,34
2018,11.01. Tulon ja varallisuuden perusteella kannettavat verot,11.01.04. Perintö- ja lahjavero,-692262962,52
2018,11.04. Liikevaihdon perusteella kannettavat verot ja maksut,11.04.01. Arvonlisävero,-18082248957,84
2018,11.04. Liikevaihdon perusteella kannettavat verot ja maksut,11.04.02. Eräistä vakuutusmaksuista suoritettava vero,-771420300,62
2018,11.04. Liikevaihdon perusteella kannettavat verot ja maksut,11.04.03. Apteekkivero,-179887851,32
2018,11.08. Valmisteverot,11.08.01. Tupakkavero,-1115321747,1
2018,11.08. Valmisteverot,11.08.04. Alkoholijuomavero,-1471675210,78
2018,11.08. Valmisteverot,11.08.05. Virvoitusjuomavero,-154620048,2
2018,11.08. Valmisteverot,11.08.07. Energiaverot,-4657195954,19
2018,11.08. Valmisteverot,11.08.08. Eräiden juomapakkausten valmistevero,-15695899,17
2018,11.10. Muut verot,11.10.03. Autovero,-1001100778,35
2018,11.10. Muut verot,11.10.05. Varainsiirtovero,-844246446,54
2018,11.10. Muut verot,11.10.06. Arpajaisvero,-226334314,45
2018,11.10. Muut verot,11.10.07. Ajoneuvovero,-1192535984,27
2018,11.10. Muut verot,11.10.08. Jätevero,-6933987,37
2018,11.19. Muut veronluonteiset tulot,11.19.03. Ratavero,-4486357,69
2018,11.19. Muut veronluonteiset tulot,11.19.04. Eräät viestinnän maksut,-36822636,23
2018,11.19. Muut veronluonteiset tulot,11.19.05. Eräät liikenteen maksut,-28321473,73
2018,11.19. Muut veronluonteiset tulot,11.19.06. Väylämaksut,-49077803,14
2018,11.19. Muut veronluonteiset tulot,11.19.08. Öljyjätemaksu,-3675411,35
2018,11.19. Muut veronluonteiset tulot,11.19.09. Muut verotulot,-6872888,54
2018,11.19. Muut veronluonteiset tulot,11.19.10. Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu,-4084583,99
2018,11.19. Muut veronluonteiset tulot,11.19.11. Rahoitusvakausviraston hallintomaksut,-2708008,
